id,name,parent,size
227,Wolowz Exchange,3,100
228,Adara,3,100
229,Algo Trader,3,100
230,Amun,3,100
231,Andromeda Group,3,100
232,Andromeda Suisse,3,100
233,Aquarius Exchange,3,100
234,Crypto Bank,2,
235,Bitwala,3,100
236,Crypto Finance,3,100
237,Finoa,3,100
238,Fintechnics,3,100
239,Liquineq,3,100
240,Mt Pelerin,3,100
241,Oyoba,3,100
242,SEBA Crypto,3,100
243,SwissBorg,3,100
244,Sygnum,3,100
245,Crypto Tokens,2,
246,Corion,3,100
247,element36,3,100
248,Equacoin,3,100
249,GID COIN,3,100
250,Globcoin,3,100
251,Kroin,3,100
252,Saga,3,100
253,Stutz,3,100
254,Swisscoin,3,100
255,SwissDiamondCoin,3,100
256,Tiberius,3,100
257,Truegold,3,100
258,WLTH,3,100
259,X8 Currency,3,100
260,Alprockz,3,100
261,Lending & Funding,2,
262,Bloomio,3,100
263,CIG-Exchange,3,100
264,Deep Knowledge Ventures,3,100
265,ETHLend,3,100
266,Homelend,3,100
267,Nexo,3,100
268,Smart Credit,3,100
269,SmartContractChain,3,100
270,Starbase Platform,3,100
271,Verified,3,100
272,AgroFintech,3,100
273,Payment & Stabletoken,2,
274,BITC,3,100
275,Counos Coins,3,100
276,Cryptix,3,100
277,Crypto.com,3,100
278,CryptoHawk,3,100
279,GloBee International,3,100
280,Korona Blockchain Ecosystem Foundation,3,100
281,LAPO,3,100
282,Monetas,3,100
283,MoneyGrid,3,100
284,Payment21,3,100
285,Rapidz,3,100
286,Request Network,3,100
287,ShaktiCoin,3,100
288,Swiss Crypto Tokens,3,100
289,The Stone Coin,3,100
290,TokenPay Swiss,3,100
291,Transfero Swiss,3,100
292,Tsrpay,3,100
293,Ubunutcoin,3,100
294,UTRUST,3,100
295,Värdex,3,100
296,Zulu Republic,3,100
297,ambrpay,3,100
298,Wallet & Vault,2,
299,Arca Trust,3,100
300,BlockVault International,3,100
301,Bread,3,100
302,Crypto Storage,3,100
303,CustoDigit,3,100
304,Eidoo,3,100
305,ft.digital fintech,3,100
306,FuzeX,3,100
307,Ledgerdash,3,100
308,Metaco,3,100
309,Pigzbe,3,100
310,Pillar,3,100
311,SAVL,3,100
312,SILO,3,100
313,Swiss Crypto Vault,3,100
314,Tangem,3,100
315,Xapo,3,100
316,AirGap,3,100
317,Other Industries,1,
318,Art,2,
319,4ARTechnologies,3,100
320,Arteia,3,100
321,Noow,3,100
322,Orion Vault,3,100
323,TheArtToken,3,100
324,VR All Art,3,100
325,E-Government &  Personal Data,2,
326,21 lectures,3,100
327,Bitcoin Schweiz,3,100
328,Candoo Labs,3,100
329,Diro Labs,3,100
330,Fetch Blockchain,3,100
331,Kriptan,3,100
332,Lillup,3,100
333,Pikciochain,3,100
334,Procivis,3,100
335,Skillchain,3,100
336,VETRI,3,100
337,WISeCoin,3,100
338,Energy & Utility,2,
339,Bitlumens,3,100
340,Bovlabs,3,100
341,BroadLights,3,100
342,Buildcoin,3,100
343,Climatecoin,3,100
344,Hive Power,3,100
345,Pexapark,3,100
346,Prosume,3,100
347,Thorium,3,100
348,VOLTEX,3,100
349,WPP Energy,3,100
350,HealthTech,2,
351,DAYS.Exchange,3,100
352,Digipharm,3,100
353,HIT,3,100
354,Linum Labs,3,100
355,Lyfegen,3,100
356,Medicalchain,3,100
357,Medicohealth,3,100
358,MEDoctor,3,100
359,OneBio,3,100
360,Patientory,3,100
361,Sana,3,100
362,InsurTech,2,
363,88Insurtech,3,100
364,Asure Network,3,100
365,B3i Services,3,100
366,Decentralized Insurance,3,100
367,Etherisc,3,100
368,Kasko2go,3,100
369,Reportix,3,100
370,ShieldIT,3,100
371,Versicherix,3,100
372,VouchForMe,3,100
373,Media & Entertainment,2,
374,Appics,3,100
375,BetBox,3,100
376,Decent,3,100
377,Ethereum Movie Venture,3,100
378,EverdreamSoft,3,100
379,Ipstock,3,100
380,LabelsCoin,3,100
381,Pocketarena,3,100
382,Publiq,3,100
383,ScienceMatters,3,100
384,SCREENIST Blockchain Technologies,3,100
385,SGame Pro,3,100
386,Singular DTV,3,100
387,Strudel,3,100
388,Utopiamusic,3,100
389,WeSing Coin,3,100
390,PropTech,2,
391,AlgoTecture,3,100
392,Blockimmo,3,100
393,Bluenote,3,100
394,BrickMark,3,100
395,BrikBit,3,100
396,Cryptectum,3,100
397,Dynasty Global Investment,3,100
398,Elea Labs,3,100
399,Elocations,3,100
400,IMBREX,3,100
401,PrepayWay,3,100
402,SwissRealCoin,3,100
403,Tokenestate,3,100
404,RegTech & LegalTech,2,
405,Aidcoin,3,100
406,Aidonic,3,100
407,Contract Vault,3,100
408,HoryouToken,3,100
409,Naefos,3,100
410,Porini,3,100
411,Poseidon Foundation,3,100
412,SmartOne,3,100
413,Transport & Supply Chain,2,
414,Acatena,3,100
415,Ambrosus Technologies,3,100
416,Arxum,3,100
417,BitNautic,3,100
418,Dav network,3,100
419,Equippo,3,100
420,FoodCoin Ecosystem,3,100
421,Freight Coin,3,100
422,Gatechain,3,100
423,Genuine Way,3,100
424,Modum,3,100
425,Olam,3,100
426,Open Packaging Network,3,100
427,RiceExchange,3,100
428,SkyCell,3,100
429,Slavefreetrade,3,100
430,SmartContainers,3,100
431,Sweetbridge,3,100
432,Travel & Leisure,2,
433,CryptoCribs,3,100
434,Fresco,3,100
435,LOOiX,3,100
436,Luxochain,3,100
437,ParkinGO,3,100
438,Peerspoint,3,100
439,Swissbloc Capital,3,100
440,Winding Tree,3,100
441,Regulators,1,
442,Regulator,2,
443,FINMA,3,100
444,FMA,3,100
445,State Secretariat for International Finance - SIF,3,100
446,Service Provider,1,
447,"Accelerator, Incubator & Co-working",2,
448,Blockchain Propulsion,3,100
449,Bluelion,3,100
450,Chainwork,3,100
451,Crypto Valley Labs,3,100
452,Distributed Ventures AG,3,100
453,F10 Incubator & Accelerator,3,100
454,FintechFusion,3,100
455,International Create Challenge,3,100
456,Kickstarter,3,100
457,Mass Challenge,3,100
458,Rising Star Accelerator,3,100
459,Swiss Startup Factory and Helvetia Insurtech Accelerator,3,100
460,Technopark Luzern,3,100
461,Thomson Reuters Lab,3,100
462,Trust Square,3,100
463,Twenty Thirty (2030),3,100
464,"Accounting, Audit  & Tax",2,
465,256 & CO,3,100
466,Accointing,3,100
467,Actus Tax,3,100
468,Deloitte,3,100
469,EY,3,100
470,Fineac Treuhand,3,100
471,Ganten Group,3,100
472,GN Treuhand,3,100
473,KPMG,3,100
474,Lucris,3,100
475,PwC,3,100
476,Banking Services,2,
477,Bank Frick,3,100
478,Falcon,3,100
479,SIX,3,100
480,Swissquote,3,100
481,Turicum Private Bank,3,100
482,Vontobel,3,100
483,Consulting & Implementation,2,
484,4_eyes,3,100
485,4bridges,3,100
486,ABC Mint,3,100
487,Abele Innovation Consulting,3,100
488,Accenture,3,100
489,AdNovum,3,100
490,Agavon,3,100
491,Bitfinitum,3,100
492,Block Hill Ventures,3,100
493,Blockbrew,3,100
